City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,fisterra,42.9049,-9.2629,13.75,76,100,2.03,ES,1682645032
338,delfzijl,53.33,6.9181,6.19,79,100,2.24,NL,1682645032
339,prieska,-29.6641,22.7474,12.66,49,7,0.7,ZA,1682645032
340,oeiras,-7.0253,-42.1311,22.6,92,100,1.15,BR,1682645033
341,disina,11.4814,9.919,26.72,51,91,3.37,NG,1682645033
342,argostolion,38.1811,20.489,12.92,72,34,0.85,GR,1682645033
343,papao,-17.75,-149.55,30.82,73,46,1.87,PF,1682645033
344,pundong,-7.9522,110.3486,27.4,79,100,1.27,ID,1682645034
345,kenai,60.5544,-151.2583,7.05,56,100,3.09,US,1682645034
346,satteldorf,49.1701,10.0787,10.57,83,100,2.88,DE,1682645034
347,konarka,19.9,86.1167,27.22,77,4,4.9,IN,1682645035
348,ranaghat,23.1833,88.5833,27.98,57,70,2.2,IN,1682645035
349,luena,-11.7833,19.9167,17.1,55,67,3.09,AO,1682645035
350,tralee,52.2704,-9.7026,10.52,95,94,2.04,IE,1682645036
351,qamdo,31.1667,97.2333,2.12,44,100,1.91,CN,1682645036
352,beledweyne,4.7358,45.2036,27.54,69,100,3.41,SO,1682645036
353,christchurch,-43.5333,172.6333,17.45,73,0,6.69,NZ,1682644591
354,feodosiya,45.0333,35.3833,11.41,91,100,7.42,UA,1682645037
355,pasuquin,18.3328,120.6177,30.97,62,20,2.57,PH,1682645037
356,llanes,43.4198,-4.7549,16.51,81,100,2.03,ES,1682645037
357,corn island,12.1694,-83.0418,27.05,72,75,5.07,NI,1682645038
